id,a0,a1,a2,a3,a4,
cero,13.31250,273.69800,35.76560,0,-1,
cero,14.47830,315.93500,33.96200,0,-1,
cero,11.21050,77.19060,39.32890,0,-1,
cero,11.81250,76.11870,30.01560,0,-1,
cero,13.82320,280.22600,35.98030,0,-1,
cero,13.50000,285.82500,32.00000,0,-1,
cero,10.94120,84.74450,30.52940,0,-1,
cero,12.47370,287.03800,35.11840,0,-1,
cero,13.00000,260.99400,32.45830,0,-1,
cero,11.62500,202.60200,34.06250,0,-1,
cero,12.36590,72.61330,36.07620,0,-1,
cero,13.63640,100.30700,30.81820,0,-1,
cero,13.09090,60.91530,31.36360,0,-1,
cero,11.42860,68.87210,47.19050,0,-1,
cero,12.94740,292.36600,35.47370,0,-1,
cero,15.00000,203.13100,32.25000,0,-1,
cero,11.74290,134.41100,31.03210,0,-1,
cero,11.55320,221.96000,31.13030,0,-1,
cero,14.72110,316.72000,36.45710,0,-1,
cero,12.18750,156.93000,34.01560,0,-1,
cero,14.21740,92.34340,50.57070,0,-1,
cero,12.25000,49.30800,33.02080,0,-1,
cero,13.55170,101.42500,32.96980,0,-1,
cero,12.50000,143.51400,35.12500,0,-1,
cero,12.42860,0.21874,38.10710,0,-1,
cero,13.09090,62.55460,35.36360,0,-1,
cero,13.07140,343.10400,32.44640,0,-1,
cero,11.85000,315.88200,33.01250,0,-1,
cero,13.50000,354.37400,33.87500,0,-1,
cero,12.27270,62.59510,31.02650,0,-1,
cero,12.42860,151.59800,30.07140,0,-1,
cero,14.18920,118.03300,56.46280,0,-1,
cero,11.86360,35.67780,35.01140,0,-1,
cero,14.17240,157.90900,37.90090,0,-1,
cero,12.15790,325.64400,35.00860,0,-1,
cero,14.47830,58.83770,32.96200,0,-1,
cero,11.33330,144.37900,36.22220,0,-1,
cero,14.53240,74.95680,34.35260,0,-1,
cero,13.87500,165.35300,64.34380,0,-1,
cero,12.40000,187.34100,40.06670,0,-1,
cero,11.09610,267.02500,32.57670,0,-1,
cero,12.24320,339.56300,30.03040,0,-1,
cero,11.74290,15.78110,32.03210,0,-1,
cero,13.28190,70.93430,30.57560,0,-1,
cero,11.90320,13.22060,32.00400,0,-1,
cero,12.65220,211.03500,37.13590,0,-1,
cero,12.92310,202.31900,37.30770,0,-1,
cero,12.66670,255.29100,32.11110,0,-1,
